id,season,week,season_type,start_date,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,bovada_spread
401112502,2019,11,regular,2019-11-09T17:00:00.000Z,Boston College,ACC,31,Florida State,ACC,38,"[{'provider': 'Bovada', 'spread': -1.5, 'formatted_spread': 'Boston College -1.5', 'spread_open': None, 'over_under': 64.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-1.5
401119302,2019,12,regular,2019-11-14T01:00:00.000Z,Toledo,Mid-American,28,Northern Illinois,Mid-American,31,"[{'provider': 'Bovada', 'spread': -2.5, 'formatted_spread': 'Toledo -2.5', 'spread_open': None, 'over_under': 55.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-2.5
401112244,2019,12,regular,2019-11-16T17:00:00.000Z,Nebraska,Big Ten,21,Wisconsin,Big Ten,37,"[{'provider': 'Bovada', 'spread': 15.0, 'formatted_spread': 'Wisconsin -15.0', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",15.0
401114181,2019,12,regular,2019-11-17T04:00:00.000Z,California,Pac-12,17,USC,Pac-12,41,"[{'provider': 'Bovada', 'spread': 4.5, 'formatted_spread': 'USC -4.5', 'spread_open': None, 'over_under': 48.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",4.5
401119307,2019,13,regular,2019-11-21T00:30:00.000Z,Miami (OH),Mid-American,20,Akron,Mid-American,17,"[{'provider': 'Bovada', 'spread': -29.0, 'formatted_spread': 'Miami (OH) -29.0', 'spread_open': None, 'over_under': 45.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-29.0
401112520,2019,13,regular,2019-11-23T17:00:00.000Z,Virginia,ACC,55,Liberty,FBS Independents,27,"[{'provider': 'Bovada', 'spread': -16.0, 'formatted_spread': 'Virginia -16.0', 'spread_open': None, 'over_under': 58.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-16.0
401114305,2019,11,regular,2019-11-09T23:00:00.000Z,Florida Atlantic,Conference USA,37,Florida International,Conference USA,7,"[{'provider': 'Bovada', 'spread': -12.5, 'formatted_spread': 'Florida Atlantic -12.5', 'spread_open': None, 'over_under': 59.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-12.5
401119308,2019,13,regular,2019-11-21T00:30:00.000Z,Buffalo,Mid-American,49,Toledo,Mid-American,30,"[{'provider': 'Bovada', 'spread': -10.0, 'formatted_spread': 'Buffalo -10.0', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-10.0
401121978,2019,14,regular,2019-11-29T23:00:00.000Z,Troy,Sun Belt,13,Appalachian State,Sun Belt,48,"[{'provider': 'Bovada', 'spread': 11.5, 'formatted_spread': 'Appalachian State -11.5', 'spread_open': None, 'over_under': 64.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",11.5
401117894,2019,10,regular,2019-11-02T00:00:00.000Z,Connecticut,American Athletic,10,Navy,American Athletic,56,"[{'provider': 'Bovada', 'spread': 26.5, 'formatted_spread': 'Navy -26.5', 'spread_open': None, 'over_under': 55.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",26.5
401114311,2019,12,regular,2019-11-16T23:00:00.000Z,UT San Antonio,Conference USA,17,Southern Mississippi,Conference USA,36,"[{'provider': 'Bovada', 'spread': 17.0, 'formatted_spread': 'Southern Mississippi -17.0', 'spread_open': None, 'over_under': 55.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",17.0
401114182,2019,13,regular,2019-11-23T21:00:00.000Z,Stanford,Pac-12,20,California,Pac-12,24,"[{'provider': 'Bovada', 'spread': 0.0, 'formatted_spread': 'California -0.0', 'spread_open': None, 'over_under': 41.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",0.0
401117899,2019,11,regular,2019-11-08T01:00:00.000Z,South Florida,American Athletic,7,Temple,American Athletic,17,"[{'provider': 'Bovada', 'spread': 0.0, 'formatted_spread': 'Temple -0.0', 'spread_open': None, 'over_under': 50.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",0.0
401110843,2019,11,regular,2019-11-09T17:00:00.000Z,Arkansas,SEC,19,Western Kentucky,Conference USA,45,"[{'provider': 'Bovada', 'spread': 0.0, 'formatted_spread': 'Western Kentucky -0.0', 'spread_open': None, 'over_under': 51.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",0.0
401117910,2019,13,regular,2019-11-24T00:30:00.000Z,Tulsa,American Athletic,14,Houston,American Athletic,24,"[{'provider': 'Bovada', 'spread': -6.5, 'formatted_spread': 'Tulsa -6.5', 'spread_open': None, 'over_under': 58.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-6.5
401114334,2019,14,regular,2019-12-01T04:59:00.000Z,Hawai'i,Mountain West,52,Army,FBS Independents,31,"[{'provider': 'Bovada', 'spread': -2.0, 'formatted_spread': ""Hawai'i -2.0"", 'spread_open': None, 'over_under': 55.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-2.0
401121961,2019,10,regular,2019-11-02T19:30:00.000Z,Louisiana Monroe,Sun Belt,41,Arkansas State,Sun Belt,48,"[{'provider': 'Bovada', 'spread': 0.0, 'formatted_spread': 'Arkansas State -0.0', 'spread_open': None, 'over_under': 69.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",0.0
401114189,2019,10,regular,2019-11-03T01:00:00.000Z,UCLA,Pac-12,31,Colorado,Pac-12,14,"[{'provider': 'Bovada', 'spread': -6.5, 'formatted_spread': 'UCLA -6.5', 'spread_open': None, 'over_under': 65.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-6.5
401112111,2019,11,regular,2019-11-09T20:30:00.000Z,Texas,Big 12,27,Kansas State,Big 12,24,"[{'provider': 'Bovada', 'spread': -7.0, 'formatted_spread': 'Texas -7.0', 'spread_open': None, 'over_under': 58.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-7.0
401117547,2019,12,regular,2019-11-16T02:30:00.000Z,San Diego State,Mountain West,17,Fresno State,Mountain West,7,"[{'provider': 'Bovada', 'spread': -2.5, 'formatted_spread': 'San Diego State -2.5', 'spread_open': None, 'over_under': 44.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-2.5
401114212,2019,14,regular,2019-11-30T21:00:00.000Z,Stanford,Pac-12,24,Notre Dame,FBS Independents,45,"[{'provider': 'Bovada', 'spread': 17.5, 'formatted_spread': 'Notre Dame -17.5', 'spread_open': None, 'over_under': 45.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",17.5
401112209,2019,11,regular,2019-11-09T17:00:00.000Z,Ohio State,Big Ten,73,Maryland,Big Ten,14,"[{'provider': 'Bovada', 'spread': -43.5, 'formatted_spread': 'Ohio State -43.5', 'spread_open': None, 'over_under': 66.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-43.5
401112249,2019,11,regular,2019-11-09T17:00:00.000Z,Northwestern,Big Ten,22,Purdue,Big Ten,24,"[{'provider': 'Bovada', 'spread': 0.0, 'formatted_spread': 'Purdue -0.0', 'spread_open': None, 'over_under': 38.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",0.0
401117903,2019,12,regular,2019-11-17T00:00:00.000Z,South Florida,American Athletic,17,Cincinnati,American Athletic,20,"[{'provider': 'Bovada', 'spread': 13.5, 'formatted_spread': 'Cincinnati -13.5', 'spread_open': None, 'over_under': 47.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",13.5
401110864,2019,14,regular,2019-11-29T19:30:00.000Z,Arkansas,SEC,14,Missouri,SEC,24,"[{'provider': 'Bovada', 'spread': 16.5, 'formatted_spread': 'Missouri -16.5', 'spread_open': None, 'over_under': 53.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",16.5
401114299,2019,10,regular,2019-11-02T19:30:00.000Z,Charlotte,Conference USA,34,Middle Tennessee,Conference USA,20,"[{'provider': 'Bovada', 'spread': 5.0, 'formatted_spread': 'Middle Tennessee -5.0', 'spread_open': None, 'over_under': 65.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",5.0
401114315,2019,13,regular,2019-11-23T20:30:00.000Z,UAB,Conference USA,20,Louisiana Tech,Conference USA,14,"[{'provider': 'Bovada', 'spread': -6.5, 'formatted_spread': 'UAB -6.5', 'spread_open': None, 'over_under': 44.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-6.5
401112228,2019,14,regular,2019-11-30T17:00:00.000Z,Michigan,Big Ten,27,Ohio State,Big Ten,56,"[{'provider': 'Bovada', 'spread': 9.5, 'formatted_spread': 'Ohio State -9.5', 'spread_open': None, 'over_under': 54.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",9.5
401112497,2019,10,regular,2019-11-02T19:30:00.000Z,Florida State,ACC,10,Miami,ACC,27,"[{'provider': 'Bovada', 'spread': -3.0, 'formatted_spread': 'Florida State -3.0', 'spread_open': None, 'over_under': 49.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-3.0
401117909,2019,13,regular,2019-11-23T21:00:00.000Z,South Florida,American Athletic,10,Memphis,American Athletic,49,"[{'provider': 'Bovada', 'spread': 15.5, 'formatted_spread': 'Memphis -15.5', 'spread_open': None, 'over_under': 60.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",15.5
401117897,2019,10,regular,2019-11-02T23:30:00.000Z,Memphis,American Athletic,54,SMU,American Athletic,48,"[{'provider': 'Bovada', 'spread': -6.5, 'formatted_spread': 'Memphis -6.5', 'spread_open': None, 'over_under': 72.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-6.5
401132975,2019,15,regular,2019-12-08T00:30:00.000Z,Clemson,ACC,62,Virginia,ACC,17,"[{'provider': 'Bovada', 'spread': -29.0, 'formatted_spread': 'Clemson -29.0', 'spread_open': None, 'over_under': 57.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-29.0
401112509,2019,12,regular,2019-11-16T21:00:00.000Z,Duke,ACC,6,Syracuse,ACC,49,"[{'provider': 'Bovada', 'spread': -8.5, 'formatted_spread': 'Duke -8.5', 'spread_open': None, 'over_under': 49.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-8.5
401117901,2019,11,regular,2019-11-09T20:30:00.000Z,Cincinnati,American Athletic,48,Connecticut,American Athletic,3,"[{'provider': 'Bovada', 'spread': -34.0, 'formatted_spread': 'Cincinnati -34.0', 'spread_open': None, 'over_under': 53.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-34.0
